year,unemployment,inflation,era
1890,4.0,0.7172,estimate
1891,5.4,-0.3052,estimate
1892,3.0,-6.4286,estimate
1893,11.7,2.3992,estimate
1894,18.4,-10.5431,estimate
1895,13.7,2.1428,estimate
1896,14.5,-5.0116,estimate
1897,12.4,0.4908,estimate
1898,12.4,3.9072,estimate
1899,6.5,7.9906,estimate
1900,5.0,7.1817,estimate
1901,4.0,-1.5228,estimate
1902,3.7,6.3917,estimate
1903,3.9,1.2598,estimate
1904,5.4,-0.0958,estimate
1905,4.3,0.958,estimate
1906,1.7,2.5614,estimate
1907,2.8,5.828,estimate
1908,8.0,-3.6711,estimate
1909,5.1,7.9854,estimate
1910,5.9,3.5294,estimate
1911,6.7,-7.7922,estimate
1912,4.6,6.602,estimate
1913,4.3,2.9325,estimate
1914,7.9,1.3491,estimate
1915,8.5,0.9151,estimate
1916,5.1,7.6669,estimate
1917,4.6,17.8407,estimate
1918,1.4,17.284,estimate
1919,1.4,15.2355,estimate
1920,5.2,15.625,estimate
1921,11.7,-10.9356,estimate
1922,6.7,-6.1625,estimate
1923,2.4,1.791,estimate
1924,5.0,0.4399,estimate
1925,3.2,2.4331,estimate
1926,1.8,0.9026,estimate
1927,3.3,-1.9303,estimate
1928,4.2,-1.1522,estimate
1929,3.2,0.0,estimate
1930,8.7,-2.6712,estimate
1931,15.9,-8.9321,estimate
1932,23.6,-10.3014,estimate
1933,24.9,-5.1924,estimate
1934,21.7,3.4794,estimate
1935,20.1,2.5529,estimate
1936,16.9,1.0322,estimate
1937,14.3,3.726,estimate
1938,19.0,-2.0278,estimate
1939,17.2,-1.301,estimate
1940,14.6,0.719,estimate
1941,9.9,5.116,estimate
1942,4.7,10.9225,estimate
1943,1.9,5.9694,estimate
1944,1.2,1.637,estimate
1945,1.9,2.2738,estimate
1946,3.9,8.4761,estimate
1947,3.6,14.3894,estimate
1948,3.75,7.6722,official
1949,6.05,-0.9808,official
1950,5.2083,1.064,official
1951,3.2833,7.9411,official
1952,3.025,2.2844,official
1953,2.925,0.7591,official
1954,5.5917,0.3611,official
1955,4.3667,-0.2575,official
1956,4.125,1.4741,official
1957,4.3,3.3927,official
1958,6.8417,2.73,official
1959,5.45,0.932,official
1960,5.5417,1.4923,official
1961,6.6917,1.0704,official
1962,5.5667,1.1761,official
1963,5.6417,1.2561,official
1964,5.1583,1.3221,official
1965,4.5083,1.5787,official
1966,3.7917,2.9894,official
1967,3.8417,2.7846,official
1968,3.5583,4.2447,official
1969,3.4917,5.4371,official
1970,4.9833,5.8837,official
1971,5.95,4.2266,official
1972,5.6,3.273,official
1973,4.8583,6.2587,official
1974,5.6417,11.0111,official
1975,8.475,9.1416,official
1976,7.7,5.7749,official
1977,7.05,6.4696,official
1978,6.0667,7.6299,official
1979,5.85,11.253,official
1980,7.175,13.5017,official
1981,7.6167,10.3783,official
1982,9.7083,6.1584,official
1983,9.6,3.1595,official
1984,7.5083,4.3682,official
1985,7.1917,3.5279,official
1986,7.0,1.9439,official
1987,6.175,3.5782,official
1988,5.4917,4.1,official
1989,5.2583,4.7911,official
1990,5.6167,5.4192,official
1991,6.85,4.2158,official
1992,7.4917,3.0416,official
1993,6.9083,2.9697,official
1994,6.1,2.5956,official
1995,5.5917,2.8054,official
1996,5.4083,2.9367,official
1997,4.9417,2.3376,official
1998,4.5,1.547,official
1999,4.2167,2.1931,official
2000,3.9667,3.3667,official
2001,4.7417,2.8166,official
2002,5.7833,1.5957,official
2003,5.9917,2.298,official
2004,5.5417,2.6676,official
2005,5.0833,3.3658,official
2006,4.6083,3.2221,official
2007,4.6167,2.8706,official
2008,5.8,3.815,official
2009,9.2833,-0.3204,official
2010,9.6083,1.6366,official
2011,8.9333,3.1397,official
2012,8.075,2.0732,official
2013,7.3583,1.466,official
2014,6.1583,1.6155,official
2015,5.275,0.1211,official
2016,4.875,1.2674,official
2017,4.3583,2.1314,official
2018,3.8917,2.439,official
2019,3.675,1.8133,official
2020,8.1,1.2529,official
2021,5.35,4.6812,official
2022,3.65,7.9908,official
2023,3.625,4.127,official
2024,4.025,2.9521,official
2025,4.2636,2.6343,official
2026,4.3333,1.9107,official
